Batch ID,Product,Line ID,Shift,Operator,Start Time,End Time,Ambient Temp (°C),Step No.,Process Step,Raw Materials (kg),Lot Number(s),Quantity Deviation (%),Equipment Used,Equipment ID/Model,Control Parameter,Setpoint Value,Measured Value,Unit,Tolerance Range,Alarm (Y/N),Alarm Type,SPC Status,Sensor Calibrated (Y/N),Energy Consumption (kWh),Maintenance Flag (Y/N),Operator Notes,Quality Check (Y/N)
BRE-004,Bread,Line-1,B,Op-202,2025-01-03 11:00:00,2025-01-03 11:20:00,22.8,1,Milling,Wheat (1000),Wheat-LOT4551,0.44,Roller Mill,Bühler MDDK,Roller Gap,0.3,0.3,mm,0.19999999999999998 to 0.4,N,None,In Control,Y,8.7,N,Equipment stable,Y
BRE-004,Bread,Line-1,B,Op-202,2025-01-03 11:00:00,2025-01-03 11:20:00,22.8,1,Milling,Wheat (1000),Wheat-LOT4551,0.44,Roller Mill,Bühler MDDK,Feed Rate,200.0,202.22,kg,190.0 to 210.0,N,None,In Control,Y,7.66,N,Routine maintenance soon,Y
BRE-004,Bread,Line-1,B,Op-202,2025-01-03 11:20:00,2025-01-03 11:40:00,22.8,2,Mixing,"Flour (600), Water (350), Yeast (20)","Flour-LOT3244, Water-LOT1619, Yeast-LOT4101",-1.14,Dough Mixer,Diosna SP120,Rotation Speed,80.0,94.07,rpm,60 to 120,N,None,In Control,Y,9.01,N,Filter check done,Y
BRE-004,Bread,Line-1,B,Op-202,2025-01-03 11:20:00,2025-01-03 11:40:00,22.8,2,Mixing,"Flour (600), Water (350), Yeast (20)","Flour-LOT3244, Water-LOT1619, Yeast-LOT4101",-1.14,Dough Mixer,Diosna SP120,Dough Temp,26.0,25.7,°C,25 to 27,N,None,In Control,Y,8.49,N,Equipment stable,Y
BRE-004,Bread,Line-1,B,Op-202,2025-01-03 11:40:00,2025-01-03 12:00:00,22.8,3,Fermentation,Dough (1000),Dough-LOT2797,2.06,Proofing Chamber,WP Bakery FER-200,Chamber Temp,32.0,30.4,°C,30 to 35,N,None,In Control,Y,5.9,N,Sensor recalibrated,Y
BRE-004,Bread,Line-1,B,Op-202,2025-01-03 11:40:00,2025-01-03 12:00:00,22.8,3,Fermentation,Dough (1000),Dough-LOT2797,2.06,Proofing Chamber,WP Bakery FER-200,Relative Humidity,80.0,81.2,%,75 to 85,N,None,In Control,N,5.72,N,Minor deviation corrected,Y
BRE-004,Bread,Line-1,B,Op-202,2025-01-03 12:00:00,2025-01-03 12:20:00,22.8,4,Baking,Fermented Dough (1000),Fermented Dough-LOT5722,3.21,Industrial Oven,MIWE Aero,Oven Temp,230.0,220.7,°C,200 to 250,N,None,In Control,Y,7.36,N,Sensor recalibrated,Y
BRE-004,Bread,Line-1,B,Op-202,2025-01-03 12:00:00,2025-01-03 12:20:00,22.8,4,Baking,Fermented Dough (1000),Fermented Dough-LOT5722,3.21,Industrial Oven,MIWE Aero,Baking Time,25.0,22.78,min,20 to 30,N,None,In Control,Y,8.07,N,Operator verified,Y
BRE-005,Bread,Line-3,A,Op-303,2025-01-03 17:00:00,2025-01-03 17:20:00,21.2,1,Milling,Wheat (1000),Wheat-LOT1531,-1.54,Roller Mill,Bühler MDDK,Roller Gap,0.3,0.3,mm,0.19999999999999998 to 0.4,N,None,In Control,N,6.32,N,Adjustment required,Y
BRE-005,Bread,Line-3,A,Op-303,2025-01-03 17:00:00,2025-01-03 17:20:00,21.2,1,Milling,Wheat (1000),Wheat-LOT1531,-1.54,Roller Mill,Bühler MDDK,Feed Rate,200.0,200.85,kg,190.0 to 210.0,N,None,In Control,Y,7.05,N,Routine maintenance soon,Y
BRE-005,Bread,Line-3,A,Op-303,2025-01-03 17:20:00,2025-01-03 17:40:00,21.2,2,Mixing,"Flour (600), Water (350), Yeast (20)","Flour-LOT8193, Water-LOT8977, Yeast-LOT4173",0.72,Dough Mixer,Diosna SP120,Rotation Speed,80.0,69.2,rpm,60 to 120,N,None,In Control,Y,9.1,N,Filter check done,Y
BRE-005,Bread,Line-3,A,Op-303,2025-01-03 17:20:00,2025-01-03 17:40:00,21.2,2,Mixing,"Flour (600), Water (350), Yeast (20)","Flour-LOT8193, Water-LOT8977, Yeast-LOT4173",0.72,Dough Mixer,Diosna SP120,Dough Temp,26.0,26.1,°C,25 to 27,N,None,In Control,Y,9.07,N,All normal,Y
BRE-005,Bread,Line-3,A,Op-303,2025-01-03 17:40:00,2025-01-03 18:00:00,21.2,3,Fermentation,Dough (1000),Dough-LOT7146,1.95,Proofing Chamber,WP Bakery FER-200,Chamber Temp,32.0,31.7,°C,30 to 35,N,None,In Control,N,6.78,N,Sensor recalibrated,Y
BRE-005,Bread,Line-3,A,Op-303,2025-01-03 17:40:00,2025-01-03 18:00:00,21.2,3,Fermentation,Dough (1000),Dough-LOT7146,1.95,Proofing Chamber,WP Bakery FER-200,Relative Humidity,80.0,78.82,%,75 to 85,N,None,In Control,Y,6.68,N,Minor deviation corrected,Y
BRE-005,Bread,Line-3,A,Op-303,2025-01-03 18:00:00,2025-01-03 18:20:00,21.2,4,Baking,Fermented Dough (1000),Fermented Dough-LOT3890,-3.24,Industrial Oven,MIWE Aero,Oven Temp,230.0,235.6,°C,200 to 250,N,None,In Control,N,8.0,N,Operator verified,Y
BRE-005,Bread,Line-3,A,Op-303,2025-01-03 18:00:00,2025-01-03 18:20:00,21.2,4,Baking,Fermented Dough (1000),Fermented Dough-LOT3890,-3.24,Industrial Oven,MIWE Aero,Baking Time,25.0,22.2,min,20 to 30,N,None,In Control,Y,8.15,N,All normal,Y
BRE-006,Bread,Line-1,B,Op-404,2025-01-04 12:00:00,2025-01-04 12:20:00,20.9,1,Milling,Wheat (1000),Wheat-LOT2708,4.24,Roller Mill,Bühler MDDK,Roller Gap,0.3,0.3,mm,0.19999999999999998 to 0.4,N,None,In Control,Y,9.9,N,Sensor recalibrated,Y
BRE-006,Bread,Line-1,B,Op-404,2025-01-04 12:00:00,2025-01-04 12:20:00,20.9,1,Milling,Wheat (1000),Wheat-LOT2708,4.24,Roller Mill,Bühler MDDK,Feed Rate,200.0,202.43,kg,190.0 to 210.0,N,None,In Control,N,8.32,N,Sensor recalibrated,Y
BRE-006,Bread,Line-1,B,Op-404,2025-01-04 12:20:00,2025-01-04 12:40:00,20.9,2,Mixing,"Flour (600), Water (350), Yeast (20)","Flour-LOT7509, Water-LOT3262, Yeast-LOT3691",0.61,Dough Mixer,Diosna SP120,Rotation Speed,80.0,82.43,rpm,60 to 120,N,None,In Control,N,7.98,N,Operator verified,Y
BRE-006,Bread,Line-1,B,Op-404,2025-01-04 12:20:00,2025-01-04 12:40:00,20.9,2,Mixing,"Flour (600), Water (350), Yeast (20)","Flour-LOT7509, Water-LOT3262, Yeast-LOT3691",0.61,Dough Mixer,Diosna SP120,Dough Temp,26.0,25.5,°C,25 to 27,N,None,In Control,Y,7.42,Y,All normal,Y
BRE-006,Bread,Line-1,B,Op-404,2025-01-04 12:40:00,2025-01-04 13:00:00,20.9,3,Fermentation,Dough (1000),Dough-LOT9026,-1.16,Proofing Chamber,WP Bakery FER-200,Chamber Temp,32.0,32.2,°C,30 to 35,N,None,In Control,N,6.96,N,Filter check done,Y
BRE-006,Bread,Line-1,B,Op-404,2025-01-04 12:40:00,2025-01-04 13:00:00,20.9,3,Fermentation,Dough (1000),Dough-LOT9026,-1.16,Proofing Chamber,WP Bakery FER-200,Relative Humidity,80.0,80.55,%,75 to 85,N,None,In Control,N,7.2,N,Routine maintenance soon,Y
BRE-006,Bread,Line-1,B,Op-404,2025-01-04 13:00:00,2025-01-04 13:20:00,20.9,4,Baking,Fermented Dough (1000),Fermented Dough-LOT2048,-0.35,Industrial Oven,MIWE Aero,Oven Temp,230.0,236.5,°C,200 to 250,N,None,In Control,N,6.97,Y,Routine maintenance soon,Y
BRE-006,Bread,Line-1,B,Op-404,2025-01-04 13:00:00,2025-01-04 13:20:00,20.9,4,Baking,Fermented Dough (1000),Fermented Dough-LOT2048,-0.35,Industrial Oven,MIWE Aero,Baking Time,25.0,24.32,min,20 to 30,N,None,In Control,N,7.34,N,Equipment stable,Y
BRE-007,Bread,Line-3,A,Op-202,2025-01-04 18:00:00,2025-01-04 18:20:00,22.4,1,Milling,Wheat (1000),Wheat-LOT9827,-1.97,Roller Mill,Bühler MDDK,Roller Gap,0.3,0.4,mm,0.19999999999999998 to 0.4,N,None,Out of Control,N,7.04,N,All normal,Y
BRE-007,Bread,Line-3,A,Op-202,2025-01-04 18:00:00,2025-01-04 18:20:00,22.4,1,Milling,Wheat (1000),Wheat-LOT9827,-1.97,Roller Mill,Bühler MDDK,Feed Rate,200.0,194.93,kg,190.0 to 210.0,N,None,In Control,N,8.1,N,All normal,Y
BRE-007,Bread,Line-3,A,Op-202,2025-01-04 18:20:00,2025-01-04 18:40:00,22.4,2,Mixing,"Flour (600), Water (350), Yeast (20)","Flour-LOT3789, Water-LOT5183, Yeast-LOT3593",1.06,Dough Mixer,Diosna SP120,Rotation Speed,80.0,83.93,rpm,60 to 120,N,None,In Control,N,7.27,N,Minor deviation corrected,Y
BRE-007,Bread,Line-3,A,Op-202,2025-01-04 18:20:00,2025-01-04 18:40:00,22.4,2,Mixing,"Flour (600), Water (350), Yeast (20)","Flour-LOT3789, Water-LOT5183, Yeast-LOT3593",1.06,Dough Mixer,Diosna SP120,Dough Temp,26.0,25.5,°C,25 to 27,N,None,In Control,Y,7.48,N,Routine maintenance soon,Y
BRE-007,Bread,Line-3,A,Op-202,2025-01-04 18:40:00,2025-01-04 19:00:00,22.4,3,Fermentation,Dough (1000),Dough-LOT2955,-0.09,Proofing Chamber,WP Bakery FER-200,Chamber Temp,32.0,32.0,°C,30 to 35,N,None,In Control,N,7.86,N,Equipment stable,Y
BRE-007,Bread,Line-3,A,Op-202,2025-01-04 18:40:00,2025-01-04 19:00:00,22.4,3,Fermentation,Dough (1000),Dough-LOT2955,-0.09,Proofing Chamber,WP Bakery FER-200,Relative Humidity,80.0,82.07,%,75 to 85,N,None,In Control,Y,7.27,N,Operator verified,Y
BRE-007,Bread,Line-3,A,Op-202,2025-01-04 19:00:00,2025-01-04 19:20:00,22.4,4,Baking,Fermented Dough (1000),Fermented Dough-LOT8880,-3.82,Industrial Oven,MIWE Aero,Oven Temp,230.0,226.8,°C,200 to 250,N,None,In Control,Y,7.55,N,Sensor recalibrated,Y
BRE-007,Bread,Line-3,A,Op-202,2025-01-04 19:00:00,2025-01-04 19:20:00,22.4,4,Baking,Fermented Dough (1000),Fermented Dough-LOT8880,-3.82,Industrial Oven,MIWE Aero,Baking Time,25.0,20.44,min,20 to 30,N,None,Out of Control,Y,9.14,N,Filter check done,Y
BRE-008,Bread,Line-1,A,Op-303,2025-01-05 09:00:00,2025-01-05 09:20:00,22.4,1,Milling,Wheat (1000),Wheat-LOT3610,-1.25,Roller Mill,Bühler MDDK,Roller Gap,0.3,0.3,mm,0.19999999999999998 to 0.4,N,None,In Control,N,9.85,N,Filter check done,Y
BRE-008,Bread,Line-1,A,Op-303,2025-01-05 09:00:00,2025-01-05 09:20:00,22.4,1,Milling,Wheat (1000),Wheat-LOT3610,-1.25,Roller Mill,Bühler MDDK,Feed Rate,200.0,203.77,kg,190.0 to 210.0,N,None,In Control,Y,9.43,N,Filter check done,Y
BRE-008,Bread,Line-1,A,Op-303,2025-01-05 09:20:00,2025-01-05 09:40:00,22.4,2,Mixing,"Flour (600), Water (350), Yeast (20)","Flour-LOT7300, Water-LOT6229, Yeast-LOT4703",0.66,Dough Mixer,Diosna SP120,Rotation Speed,80.0,69.37,rpm,60 to 120,N,None,In Control,N,7.66,N,Equipment stable,Y
BRE-008,Bread,Line-1,A,Op-303,2025-01-05 09:20:00,2025-01-05 09:40:00,22.4,2,Mixing,"Flour (600), Water (350), Yeast (20)","Flour-LOT7300, Water-LOT6229, Yeast-LOT4703",0.66,Dough Mixer,Diosna SP120,Dough Temp,26.0,25.7,°C,25 to 27,N,None,In Control,Y,8.73,N,Operator verified,Y
BRE-008,Bread,Line-1,A,Op-303,2025-01-05 09:40:00,2025-01-05 10:00:00,22.4,3,Fermentation,Dough (1000),Dough-LOT2773,-2.09,Proofing Chamber,WP Bakery FER-200,Chamber Temp,32.0,30.9,°C,30 to 35,N,None,In Control,Y,6.77,N,Routine maintenance soon,Y
BRE-008,Bread,Line-1,A,Op-303,2025-01-05 09:40:00,2025-01-05 10:00:00,22.4,3,Fermentation,Dough (1000),Dough-LOT2773,-2.09,Proofing Chamber,WP Bakery FER-200,Relative Humidity,80.0,81.34,%,75 to 85,N,None,In Control,Y,6.75,N,Operator verified,Y
BRE-008,Bread,Line-1,A,Op-303,2025-01-05 10:00:00,2025-01-05 10:20:00,22.4,4,Baking,Fermented Dough (1000),Fermented Dough-LOT7494,1.22,Industrial Oven,MIWE Aero,Oven Temp,230.0,232.4,°C,200 to 250,N,None,In Control,Y,8.53,N,Operator verified,Y
BRE-008,Bread,Line-1,A,Op-303,2025-01-05 10:00:00,2025-01-05 10:20:00,22.4,4,Baking,Fermented Dough (1000),Fermented Dough-LOT7494,1.22,Industrial Oven,MIWE Aero,Baking Time,25.0,29.16,min,20 to 30,N,None,Out of Control,Y,8.36,N,Minor deviation corrected,Y
BRE-009,Bread,Line-1,C,Op-202,2025-01-05 18:00:00,2025-01-05 18:20:00,23.0,1,Milling,Wheat (1000),Wheat-LOT6042,-2.47,Roller Mill,Bühler MDDK,Roller Gap,0.3,0.3,mm,0.19999999999999998 to 0.4,N,None,In Control,Y,8.72,N,Filter check done,Y
BRE-009,Bread,Line-1,C,Op-202,2025-01-05 18:00:00,2025-01-05 18:20:00,23.0,1,Milling,Wheat (1000),Wheat-LOT6042,-2.47,Roller Mill,Bühler MDDK,Feed Rate,200.0,197.43,kg,190.0 to 210.0,N,None,In Control,Y,8.33,N,Equipment stable,Y
BRE-009,Bread,Line-1,C,Op-202,2025-01-05 18:20:00,2025-01-05 18:40:00,23.0,2,Mixing,"Flour (600), Water (350), Yeast (20)","Flour-LOT4789, Water-LOT6942, Yeast-LOT3829",1.38,Dough Mixer,Diosna SP120,Rotation Speed,80.0,80.82,rpm,60 to 120,N,None,In Control,N,5.83,N,Sensor recalibrated,Y
BRE-009,Bread,Line-1,C,Op-202,2025-01-05 18:20:00,2025-01-05 18:40:00,23.0,2,Mixing,"Flour (600), Water (350), Yeast (20)","Flour-LOT4789, Water-LOT6942, Yeast-LOT3829",1.38,Dough Mixer,Diosna SP120,Dough Temp,26.0,26.0,°C,25 to 27,N,None,In Control,N,4.98,N,Routine maintenance soon,Y
BRE-009,Bread,Line-1,C,Op-202,2025-01-05 18:40:00,2025-01-05 19:00:00,23.0,3,Fermentation,Dough (1000),Dough-LOT6812,-0.56,Proofing Chamber,WP Bakery FER-200,Chamber Temp,32.0,32.9,°C,30 to 35,N,None,In Control,Y,8.98,N,Routine maintenance soon,Y
BRE-009,Bread,Line-1,C,Op-202,2025-01-05 18:40:00,2025-01-05 19:00:00,23.0,3,Fermentation,Dough (1000),Dough-LOT6812,-0.56,Proofing Chamber,WP Bakery FER-200,Relative Humidity,80.0,81.16,%,75 to 85,N,None,In Control,Y,8.18,N,Filter check done,Y
BRE-009,Bread,Line-1,C,Op-202,2025-01-05 19:00:00,2025-01-05 19:20:00,23.0,4,Baking,Fermented Dough (1000),Fermented Dough-LOT6362,0.34,Industrial Oven,MIWE Aero,Oven Temp,230.0,223.6,°C,200 to 250,N,None,In Control,Y,9.38,N,Operator verified,Y
BRE-009,Bread,Line-1,C,Op-202,2025-01-05 19:00:00,2025-01-05 19:20:00,23.0,4,Baking,Fermented Dough (1000),Fermented Dough-LOT6362,0.34,Industrial Oven,MIWE Aero,Baking Time,25.0,26.5,min,20 to 30,N,None,In Control,N,8.63,N,Equipment stable,Y
BRE-010,Bread,Line-1,C,Op-202,2025-01-06 14:00:00,2025-01-06 14:20:00,18.9,1,Milling,Wheat (1000),Wheat-LOT9432,0.87,Roller Mill,Bühler MDDK,Roller Gap,0.3,0.3,mm,0.19999999999999998 to 0.4,N,None,In Control,Y,6.63,N,Filter check done,Y
BRE-010,Bread,Line-1,C,Op-202,2025-01-06 14:00:00,2025-01-06 14:20:00,18.9,1,Milling,Wheat (1000),Wheat-LOT9432,0.87,Roller Mill,Bühler MDDK,Feed Rate,200.0,200.89,kg,190.0 to 210.0,N,None,In Control,Y,7.06,N,Filter check done,Y
BRE-010,Bread,Line-1,C,Op-202,2025-01-06 14:20:00,2025-01-06 14:40:00,18.9,2,Mixing,"Flour (600), Water (350), Yeast (20)","Flour-LOT5630, Water-LOT7112, Yeast-LOT6523",1.98,Dough Mixer,Diosna SP120,Rotation Speed,80.0,85.14,rpm,60 to 120,N,None,In Control,N,7.78,N,Operator verified,Y
BRE-010,Bread,Line-1,C,Op-202,2025-01-06 14:20:00,2025-01-06 14:40:00,18.9,2,Mixing,"Flour (600), Water (350), Yeast (20)","Flour-LOT5630, Water-LOT7112, Yeast-LOT6523",1.98,Dough Mixer,Diosna SP120,Dough Temp,26.0,26.3,°C,25 to 27,N,None,In Control,Y,8.09,N,Adjustment required,Y
